id,name,abrv,division,primaryColor,logo,playoffs,second_round,conf_final,cup_final,cup_win,low_points,proj_points,high_points,low_goals,proj_goals,high_goals,high_goals_against,proj_goals_against,low_goals_against,Dif
1,Anaheim Ducks,ANA,Pacific,#00685e,/Images/ducks.png,0.5%,0.1%,0%,0%,0%,63,67.4,75,212,222,232,279,291,302,-69
2,Boston Bruins,BOS,Atlantic,#FFB81C,/Images/bruins.png,71.9%,37.0%,18.8%,9.0%,4.1%,87,95.4,98,250,261,272,228,238,249,23
3,Buffalo Sabres,BUF,Atlantic,#0037087,/Images/sabres.png,20.1%,6.1%,2.0%,0.6%,0.2%,76,83.6,87,226,237,247,241,252,263,-15
4,Calgary Flames,CGY,Pacific,#D2001C,/Images/flames.png,16.1%,3.9%,1.1%,0.3%,0.1%,75,82.0,87,213,224,234,234,245,256,-21
5,Carolina Hurricanes,CAR,Metropolitan,#CE1126,/Images/canes.png,81.3%,43.2%,22.3%,11.5%,5.5%,99,98.0,110,236,247,258,208,218,228,29
6,Chicago Blackhawks,CHI,Central,#CF0A2C,/Images/blackhawks.png,10.5%,2.5%,0.6%,0.1%,0%,68,79.8,80,211,221,231,238,249,260,-28
7,Colorado Avalanche,COL,Central,#6F263D,/Images/avalanche.png,80.9%,41.8%,19.9%,9.3%,4.5%,88,97.5,100,250,261,272,221,231,242,30
8,Columbus Blue Jackets,CBJ,Metropolitan,#002654,/Images/blue jackets.png,0.2%,0%,0%,0%,0%,62,64.6,73,203,213,223,279,291,303,-78
9,Dallas Stars,DAL,Central,#006847,/Images/stars.png,95.3%,60.3%,33.4%,19.1%,10.9%,95,104.4,106,269,281,292,217,227,238,54
10,Detroit Red Wings,DET,Atlantic,#ce1126,/Images/red wings.png,28.4%,9.9%,3.4%,1.2%,0.4%,79,86.0,91,220,230,241,229,239,250,-9
11,Edmonton Oilers,EDM,Pacific,#FF4C00,/Images/oilers.png,91.1%,49.7%,26.6%,13.0%,6.8%,92,101.3,103,270,281,293,227,237,248,44
12,Florida Panthers,FLA,Atlantic,#c8102E,/Images/panthers.png,94.5%,59.7%,35.5%,21.2%,11.8%,93,104.2,104,241,252,262,193,203,213,49
13,Los Angeles Kings,LAK,Pacific,#A2AAAD,/Images/kings.png,87.2%,45.5%,24.2%,11.8%,6.0%,93,99.5,105,227,238,248,195,205,215,33
14,Minnesota Wild,MIN,Central,#154734,/Images/wild.png,72.0%,30.3%,12.1%,4.8%,1.9%,91,95.1,103,225,236,246,206,216,226,20
15,Montreal Canadiens,MTL,Atlantic,#AF1E2D,/Images/canadiens.png,1.0%,0.2%,0%,0%,0%,64,70.4,75,216,227,237,274,286,297,-59
16,Nashville Predators,NSH,Central,#FFB81C,/Images/predators.png,69.1%,33.1%,15.1%,6.8%,3.2%,87,94.4,98,251,262,273,232,242,253,20
17,New Jersey Devils,NJD,Metropolitan,#CE1126,/Images/devils.png,87.2%,48.5%,25.5%,13.4%,6.6%,93,100.0,104,263,274,286,225,236,246,38
18,New York Islanders,NYI,Metropolitan,#00539b,/Images/islanders.png,77.8%,36.9%,17.4%,8.0%,3.5%,84,97.0,96,248,259,271,221,232,243,27
19,New York Rangers,NYR,Metropolitan,#0038A8,/Images/rangers.png,87.0%,48.2%,25.4%,13.3%,6.6%,93,100.0,105,247,258,269,211,221,232,37
20,Ottawa Senators,OTT,Atlantic,#DA1A32,/Images/senators.png,46.9%,19.8%,8.4%,3.5%,1.3%,85,90.1,96,234,244,255,229,240,251,4
21,Philadelphia Flyers,PHI,Metropolitan,#F74902,/Images/flyers.png,2.1%,0.4%,0.1%,0%,0%,73,73.3,85,207,217,228,255,266,277,-49
22,Pittsburgh Penguins,PIT,Metropolitan,#FCB514,/Images/penguins.png,9.2%,2.4%,0.7%,0.2%,0.1%,74,79.3,85,225,235,246,254,265,276,-30
23,San Jose Sharks,SJS,Pacific,#006D75,/Images/sharks.png,0%,0%,0%,0%,0%,51,51.9,62,178,187,196,295,307,319,-120
24,Seattle Kraken,SEA,Pacific,#68a2b9,/Images/kraken.png,41.5%,14.6%,5.6%,2.0%,0.7%,81,88.5,92,223,234,245,224,235,245,-1
25,St. Louis Blues,STL,Central,#002F87,/Images/blues.png,3.6%,0.7%,0.1%,0%,0%,71,74.8,82,207,218,228,250,262,273,-44
26,Tampa Bay Lightning,TBL,Atlantic,#002868,/Images/lightning.png,59.2%,28.2%,13.5%,6.1%,2.6%,88,92.6,99,246,257,268,233,244,255,13
27,Toronto Maple Leafs,TOR,Atlantic,#00205b,/Images/leafs.png,79.2%,39.9%,19.7%,9.3%,4.3%,93,97.5,104,251,262,273,222,233,243,29
28,Utah Hockey Club,UTA,Central,#5c88da,/Images/utah.png,19.7%,5.6%,1.8%,0.6%,0.2%,84,83.2,96,225,236,247,242,253,264,-17
29,Vancouver Canucks,VAN,Pacific,#00205B,/Images/canucks.png,97.8%,64.0%,39.1%,23.7%,14.2%,103,107.1,114,257,269,280,198,208,219,61
30,Vegas Golden Knights,VGK,Pacific,#B4975A,/Images/golden knights.png,47.1%,16.6%,6.5%,2.4%,0.9%,86,89.6,97,240,251,262,236,247,258,4
31,Washington Capitals,WSH,Metropolitan,#041E42,/Images/capitals.png,53.9%,19.7%,7.4%,2.7%,1.0%,89,91.4,100,251,262,273,241,252,263,10
32,Winnipeg Jets,WPG,Central,#004C97,/Images/jets.png,67.7%,31.5%,14.0%,6.2%,2.8%,91,94.1,102,232,242,253,215,226,236,16
